galaxy,variant,n_points,r_max_kpc,distance_mpc,rmse_DeltaX_absolute,rmse_DeltaX_shape,rmse_DeltaX_shape_inner,rmse_DeltaX_shape_outer,rmse_V_absolute,rmse_V_scaled,V_scale_alpha,median_DeltaX_obs,median_DeltaX_pred
NGC2366,full,26,6.06,3.27,0.3786830149648371,0.15189362032763382,0.1575378933097733,0.13024236896002347,10.398999143168684,3.274102592040278,1.2990252635307733,1.6157623641044934,1.1727486601563968
NGC2403,full,73,20.87,3.16,0.1659458369516137,0.16518469504325223,0.2121054522894419,0.0951519579521982,10.965083925425924,10.791767373068117,0.9827489300826356,1.0867378044365226,1.166230548135256
NGC2683,full,11,34.62,9.81,0.12569330965759398,0.11691116433964731,0.11982105586227246,0.0392352721094225,24.794396578977935,20.803665925638803,1.0821277296599014,1.1810061919878447,1.1207917894848467
NGC2841,full,50,63.64,14.1,0.15937467639615288,0.10475644480304441,0.09424911944149547,0.07457555077314584,39.31079665922821,26.11009184921276,1.1082928853143748,1.2081337055803558,1.174360478814783
NGC2903,full,34,24.96,6.6,0.18970348401224874,0.07131597564952659,0.09444098835901957,0.03274833490352614,35.400711702206586,16.11436531854495,0.8549355518131487,0.9756566494139758,1.2049135644445956
NGC2915,full,30,10.04,4.06,1.4915520534775764,0.31298750059325353,0.4246007285379091,0.09829929845396441,42.39398363679354,13.47086742405855,2.154627891304383,2.8634607861291332,1.2128021021557782
NGC2955,full,24,35.43,97.9,0.3745655023755254,0.19351908021937803,0.20134708432346957,0.08641095250189412,96.55535286589485,45.12806311143781,0.7448850184587512,0.8625363256593539,1.0948908809814295
NGC2976,full,27,2.27,3.58,0.1373493988009158,0.12034734310855821,0.07456112550521242,0.1542376651835788,9.425897502079573,8.673301883482136,0.9383327883195485,0.9552944041613751,0.9846084180946402
NGC2998,full,13,42.28,68.1,0.5915127193734371,0.583203692808882,0.7075948541907038,0.01799054720740902,56.30053329480227,48.518548237762374,0.8661596401307196,1.1635987294183687,1.208909121660913
NGC3109,full,25,6.45,1.33,1.4551611879760247,0.3947326110533678,0.3384466928450995,0.3878123896443143,30.154387334725133,7.5693046545434655,2.4904662834875078,2.3468228062034244,0.934998838961851
NGC3198,full,43,44.08,13.8,0.15254968963937776,0.09074839342033712,0.09221229420741442,0.03143406907181857,16.10707503802952,8.697089215898167,0.9057341445753335,1.0756121539922903,1.1483562886904228
NGC3521,full,41,17.74,7.7,0.38381515028210683,0.11695967457493472,0.12409429861073974,0.0367270531029669,94.25925327425173,27.634805432573714,0.6958715864322396,0.7851944974790988,1.17200295215676
NGC3726,full,12,32.52,18.0,0.14713148893421785,0.10628494937221676,0.06181676503866462,0.1290028671968291,23.463042361037974,14.15338406865749,0.8906317209874482,0.9333150393258629,1.1441997173062852
NGC3741,full,21,7.0,3.21,1.5189805905574605,0.1274946846576607,0.1499982538944201,0.0892667789316881,20.884089126503127,1.7379620999819725,2.2209172848173466,2.8738473739094856,1.2168022055684298
NGC3769,full,12,37.16,18.0,0.23251785331985006,0.08847698221239012,0.039175659631353735,0.10244723947457635,16.166489271051283,6.96124796267435,1.1437338906678336,1.2885455639063554,1.1458530630927268
NGC3877,full,13,11.35,18.0,0.14120663642193712,0.12832385581159783,0.13370225831484406,0.10208566520431225,23.514986332688053,19.83240673499108,0.9214011066165001,0.8612549893371314,0.9192284070678761
NGC3893,full,10,19.05,18.0,0.06475323110100935,0.05073727631767433,0.03656550993357667,0.021771528833139854,10.210926688560777,9.40366946585466,0.9782385734209663,1.0810379357165472,1.1316564614723479
NGC3917,full,17,14.86,18.0,0.24107439473713801,0.14201819868230303,0.08529677613718507,0.10072249695332121,20.899970312220397,12.691082115133595,1.1622770782148812,1.2323263903016004,1.025144393258825
NGC3949,full,7,7.07,18.0,0.21188562168005806,0.07011721901363577,0.011372154894592892,0.04937717047536548,37.442888124047634,12.679957058225659,0.8131228308889406,0.8216715211780866,0.9350304941091289
NGC3953,full,8,15.68,18.0,0.14282201321002058,0.1131615047530071,0.035045731314065735,0.11312957652195137,32.72047826925165,26.077398739087204,0.9149056896278249,0.9197483238749501,0.9316585603966961
NGC3972,full,10,8.72,18.0,0.22240612777160143,0.06833853916417107,0.09050074201444516,0.03342435513141425,19.64590131110188,5.2376594816430995,1.2105502377453696,1.201844564922058,0.9607251765580884
NGC3992,full,9,46.02,23.7,0.19295998542616496,0.10656635396554291,0.11312581830853521,0.023005198900065114,43.0312069986883,23.19136277607367,1.167269709337211,1.2367729039989568,1.1077136964437293
NGC4010,full,12,10.47,18.0,0.16676585436091407,0.1666028194342941,0.22440039830313027,0.06376460745900873,7.776308529882466,7.57818827892152,0.9833453465772427,1.1642467942689945,1.1300296724186838
NGC4013,full,36,31.01,18.0,0.09991305338685218,0.08223053191535806,0.08224828302410835,0.07368380003614731,15.315954540027462,12.924362545925938,1.0483299280441474,1.1527447909986486,1.2167501126264972
NGC4051,full,7,12.19,18.0,0.18257989089538312,0.09752626375247346,0.05013606756973021,0.07307597060464222,32.840462699627786,16.377761772308066,0.8346243097451872,0.8360962952284848,0.9273880278601448
NGC4068,full,6,2.33,4.37,0.25758400510329593,0.20260354743574432,0.10398529900195846,0.08635334662646921,7.3192136902704386,4.260764503250739,1.2750490665269028,1.0669378716083961,0.9181598853475506
NGC4085,full,7,6.2,18.0,0.29206866326526976,0.07855994540536033,0.09117663173917273,0.0438194525316222,40.56653249581497,10.457525887551824,0.7422245655754768,0.8278735967004076,1.0090039451172375
NGC4088,full,12,21.48,18.0,0.3068892343235824,0.0813446954580555,0.08706532774702755,0.04969903768951958,62.628525551439814,15.824163730554593,0.7295489822039725,0.7659700912409035,1.1672008821478075
NGC4100,full,24,22.76,18.0,0.11524996539037494,0.11112601319046815,0.1194583830989737,0.04812305178232748,17.80158671224248,16.497453681898037,1.0396396801699825,1.187410123014324,1.1657894609041901
NGC4138,full,7,18.58,18.0,0.17819254352285305,0.07661834706088494,0.06918767643811737,0.04211140495453195,26.97351224024327,12.128349818285484,1.1696346740735883,1.150722981067453,0.9267976379221845
